att_w_US,const_st,wf_rec,coast_rec,first_st,oper,NEP,rel,met,moral,instr,oper,att_w_US,const_st,wf_rec,coast_rec,first_st,mean_inst,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,comm_rel,wild_rel,iden_rel,kin_rel,health_rel2,other_rel,extract_r_ins,loss_r_ins,clean_inst,decade_r_mor,right_r_mor,kin_met,resp_met,iden_met,other_met,id_num,tech_r,gender,age,edu,income,employ,pol
3,3,3,1,3,1,3.00,3.00,3.00,3.00,3.33,1,3,3,3,1,3,3.33,3,3,3,3,3,4,2,3,4,2,3,3,3,4,3,3,3,3,2,4,R_0Mp0vazEMGmusrH,2,1,66,5,4,6,5
4,4,3,5,3,2,5.00,4.33,4.25,5.00,3.50,2,4,4,3,5,3,3.5,5,5,5,5,5,4,4,4,5,4,5,2,,5,5,5,4,4,4,5,R_0N8eYana0RLX9UF,4,1,25,6,8,1,1
5,4,3,2,3,1,3.60,3.17,3.00,4.00,3.67,1,5,4,3,2,3,3.67,4,3,4,3,4,3,2,3,3,4,4,3,3,5,4,4,2,3,2,5,R_0NeD22cad3dbpvn,2,1,51,6,3,1,3
5,4,2,4,5,1,4.40,4.50,4.00,4.00,4.00,1,5,4,2,4,5,3.33,5,5,5,2,5,5,5,4,4,4,5,3,4,5,4,4,5,5,2,4,R_0NiiDA0LUqBKurP,2,2,19,7,6,1,1
4,3,3,4,4,2,4.20,4.00,4.25,3.50,3.33,2,4,3,3,4,4,3.33,4,4,4,5,4,4,4,4,3,4,5,2,3,5,3,4,3,5,4,5,R_0NRtMV8VBYoLZpb,3,2,28,6,2,5,3
5,4,3,4,3,2,4.40,4.33,4.25,4.00,4.67,2,5,4,3,4,3,3.33,4,4,5,4,5,4,5,4,4,4,5,4,5,5,4,4,4,5,3,5,R_0oGsLWMorV4Bk1f,1,2,44,7,8,1,1
5,4,3,4,3,2,4.80,4.00,4.00,4.00,4.33,2,5,4,3,4,3,3.67,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,R_0oWwXewYpbwgTNX,2,1,38,6,8,1,1
4,4,2,2,4,2,4.20,4.00,4.00,4.00,3.33,2,4,4,2,2,4,2.67,4,4,4,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,5,R_0p6vxKxaLOM0Vox,3,1,62,7,6,1,1
5,4,3,2,3,2,4.20,3.00,2.50,3.50,4.00,2,5,4,3,2,3,4,4,4,5,5,3,3,4,2,3,2,4,4,3,5,3,4,3,3,1,3,R_0PwlUujFg5mZFGJ,2,1,28,6,6,5,1
4,3,2,5,3,1,4.80,4.67,5.00,5.00,4.67,1,4,3,2,5,3,3.33,5,5,4,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,R_0qvNtw9fFcThH25,2,1,28,7,4,1,1
5,4,3,2,3,1,4.40,4.33,3.75,4.50,4.00,1,5,4,3,2,3,3.33,5,4,4,5,4,4,4,5,4,4,5,3,4,5,4,5,3,5,2,5,R_0TmUsFFK76t4dCZ,2,2,26,6,10,1,1
5,4,3,2,3,2,5.00,4.17,5.00,5.00,4.67,2,5,4,3,2,3,3.33,5,5,5,5,5,5,4,5,5,1,5,4,5,5,5,5,5,5,5,5,R_0uiEagDZ8utTBJ3,2,1,63,7,8,1,1
5,4,5,2,5,2,3.00,3.83,5.00,2.50,3.00,2,5,4,5,2,5,3.67,3,2,3,3,4,4,4,5,4,2,4,2,2,5,3,2,5,5,5,5,R_0vbLkr44iCanyK1,2,2,35,3,1,1,3
