sub_pop,id_num,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,resp_rel,comm_rel,wild_rel,iden_rel,kin_rel,right_r_mor,health_rel2,other_rel,kin_met,resp_met,iden_met,other_met,decade_r_mor,extract_r_ins,loss_r_ins,clean_inst,tech_r
Famer_ave,,4.805,4.488,2.836,4.741,4.809,4.327,4.701,4.207,4.462,4.264,,,4.753,4.259,4.578,4.343,4.446,,,,,
M-Turk,,4.253,3.813,3.968,3.877,3.895,,4.068,3.698,3.823,4.003,4.005,3.719,4.343,3.382,3.985,2.988,4.088,3.860,2.808,3.774,4.685,2.503
Tourist,,3.813,3.712,3.682,3.519,3.553,4.275,4.087,3.689,3.815,3.807,4.158,3.940,4.377,,,,,,2.533,3.690,4.654,3.101
